portugues,tupi_antigo
"Se o que tem relações sexuais com uma solteira ou por ela se atrai transgride muito a palavra de Deus, tanto mais o que perverte uma casada ou o que se atrai por ela","Mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîabyeté Tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara"
"Ao se aproximar o doente de sua agonia, que mande chamar o padre, o que põe o óleo bento","Mba'easybora o mara'ara kakareme t'osenõîukar abaré, îandykaraíba nongara"
"Adivinha, vamos ver, o que bateu em ti!",Eîkuá ra'u nde ri opûaryba'e!
Do nada fez nossa alma,Nama'eruã oîmonhang asé 'angamo
"Serão fedorentos, serão muito podres, corroídos de vermes e de bernes","I nem-eté, i tuîuk-eté, tasoka, ura remimongûyamone"
Arrancando suas aflições,I poraûsuboka
Pode o padrinho casar-se com aquele que batiza?,E'ikatupe morerokarûera omendá o emierokûera resé?
"Das cuias ficando a quebrar as pontas, afrontaste os homens","Kuîa nhẽ i tĩ-ngá-tĩ-ngábo, ereîanga'o abá"
Obra-prima sou eu,Ixé-tene îaeté
Quem são os que rogam por nós a Deus?,Abá-abápe asé resé Tupã mongetasaramo sekóû?
Como as coisas devagar,A'é umanĩ mba'e gûabo
"Enfim, esses temiminós não tomam a lei de Deus, não a amam, não a acatam","Aûîé, kó temiminõ nd' ogûari Tupã rekó, nd'osaûsubi, n'omotybi"
o que se batiza,oîasukyba'e
Os homens batizados honram este dia,Apŷá-serokypyra kó 'ara oîmoeté
A respeito de quê conversamos?,Ma'e resé îandé mongetáû?
Hei de me esconder bem,Aîemĩngatupe ká
Mais que a roupa batida é a brancura de sua alma,Akó aoba i putukapyra sosé o 'anga tinga
"Amarrei penas de asa nela (isto é, na flecha)",Aîpepó-pûar
"Rompeu-se teu coração, por amor a ele","Obok nde nhy'ã, saûsuba resé"
Pode a gente vê-lo aqui também?,E'ikatupe asé iké bé sepîaka?
Creio na subida dele ao céu,Arobîar ybakype i îeupiragûera
corpo morto,Teté-kanhema
"Ainda bem que não fui, pois",Aûîeté pakó xe soe'ymi é
"Vem, coisa fedorenta!","Eîori, mba'enem!"
Eu tenho azia,Xe pusu'umukaî
Eu costumo mexericar,Xe mba'epûer-y îá
Manuseio-o,Aîabyky
Não cessam suas palavras duras,N'opyki i nhe'engatã
a companheira de minha mãe,xe sy'yra
Eu tenho cachaço grande,Xe aŷpygûasu
"Meu anzol muito ditoso há de pescar para ti, puxando bem os canapus e as arabaianas verdadeiras","Xe pindá-porangeté t'opindaîtykyne endébo, kunapu rekyîetébo, gûaraobanhaneté"
Não hei de ir (dito por mulher),Asó umẽpe ky
o fraco que convido para comer,xe remipoîmembeka
Ainda bem que o faz correr consigo!,Iîamuru senonhana!
Está muito desfigurado meu rosto,I te i té xe robá
Eu não me afasto deles,Ixé n'aîeîyî i xuí
Eu sou enfermiço,Xe mba'easypotar
Quem desobedece àquele?,Abápe aîpoba'e oîmomaran?
"Como recompensa de seu muito amor a Ele, Deus levou-o certamente, com seu corpo, para o céu","Ogûaûsukatuagûera repyramo, Tupã ipó serã serasóû seté resebé ybakype"
palavra ruim,nhe'engasy
"Perdoar-lhe-ia Nosso Senhor se ele lhe dissesse ""-perdoa tu a mim""?","I nhyrõ nhẽpemo Îandé Îara i xupé ""nde nhyrõ ixébe"" o îoupé i 'erememo?"
Faze uma igreja que tenha meu nome,Xe reryîara tupãoka eîmonhang
Trazendo o resplendor de Deus,Tupã beraba reru
"jazimento de pedras grandes, penedia",itagûasutyba
Este é o meu princípio,Kó xe ypy
Antecipei (ou atalhei) sua fala,Aînhe'engenondear
Realizar-se-ão futuramente,I por irãne
Por que minha mãe me deu à luz outrora?,Marã-pakó xe sy xe mbo'ari erimba'e?
Chamo os homens,Asenõî apŷabetá
"Ao comer junto dos seus discípulos, o pão que apanhou em suas mãos devolveu-o","Ogûemimbo'e pyri o karuápe, miapé o pópe gûemiîara i moîebyû"
Tenho-te como meu filho,Orogûerekó xe ra'yramo
Acreditas em falsas oferendas ou em pajelanças?,Ererobîápe îetanonga'uba koîpó karaimonhanga?
Estava já Deus no ventre de Santa Maria?,Oín uãpe Tupã Santa Maria rygépe?
Tu és sempre nosso remédio,Nde îepi oré posanga
"Ah, quem me dera tivesse o padre um pouquinho de piedade de mim, mandando-me pôr em outra parte!","Xe raûsubá-mirĩ temõ abaré, amongoty nhõte xe moinuká mã!"
"Ah, que bom seria se eu tivesse ido ontem!",Marãîasûaramo xe sóû kûesé mã!
Tornou-te mais formosa que ela,Nde moaysó-eté i xuí
"Na verdade, não são conhecedores das coisas","Anhẽ, n'i tekokuabi"
